Date,AAPL Open,AAPL High,AAPL Low,AAPL Close,AAPL Adj Close,AAPL Volume,FB Open,FB High,FB Low,FB Close,FB Adj Close,FB Volume,KO Open,KO High,KO Low,KO Close,KO Adj Close,KO Volume,SPOT Open,SPOT High,SPOT Low,SPOT Close,SPOT Adj Close,SPOT Volume
27/10/20,115.489998,117.279999,114.540001,116.599998,116.028427,92276800,278.76001,284.51001,276.309998,283.290009,283.290009,16287200,49.810001,50.290001,49.549999,49.900002,48.735851,13892100,286.73999,292.790009,285,287.450012,287.450012,1778000
28/10/20,115.050003,115.43,111.099998,111.199997,110.654892,143937800,278.790009,278.790009,267.26001,267.670013,267.670013,23121800,49,49.150002,47.779999,47.959999,46.84111,19886200,281.429993,284.640015,273.359985,276.140015,276.140015,2257900
29/10/20,112.370003,116.93,112.199997,115.32,114.7547,146129200,276.549988,283.600006,273.779999,280.829987,280.829987,32368100,47.73,48.48,47.299999,48.02,46.899712,15369900,260,268.559998,248.259995,266.869995,266.869995,5508200
30/10/20,111.059998,111.989998,107.720001,108.860001,108.326363,190272600,274.5,276.700012,259.100006,263.109985,263.109985,47247800,47.810001,48.119999,47.369999,48.060001,46.938782,15804000,263.709991,265.529999,235.880005,239.889999,239.889999,3520500
02/11/20,109.110001,110.68,107.32,108.769997,108.236809,122866900,264.600006,270.470001,257.339996,261.359985,261.359985,27165700,48.75,48.950001,48.240002,48.619999,47.485714,15156100,240.009995,240.789993,228.110001,231.600006,231.600006,2282200
03/11/20,109.660004,111.489998,108.730003,110.440002,109.898621,107624400,263.160004,270.049988,260.880005,265.299988,265.299988,17961900,49.220001,49.959999,49,49.349998,48.198681,15285100,236,241.350006,232.865997,236.529999,236.529999,1418500
04/11/20,114.139999,115.589996,112.349998,114.949997,114.386513,138235500,281,288.940002,278.619995,287.380005,287.380005,35364400,49.43,50.209999,49.080002,49.169998,48.022881,12930800,245,246.949997,238,239.279999,239.279999,1907000
05/11/20,117.949997,119.620003,116.870003,119.029999,118.44651,126387100,291.899994,297.380005,288.950012,294.679993,294.679993,23823600,49.759998,50.209999,49.34,49.439999,48.286587,12452400,247.720001,257.769989,239.600006,256.380005,256.380005,2180600
06/11/20,118.32,119.199997,116.129997,118.690002,118.311951,114457900,293.950012,294.600006,288.059998,293.410004,293.410004,13891000,49.650002,49.990002,49.25,49.450001,48.296352,9294900,257.5,276.48999,255.740005,276.100006,276.100006,2161200
09/11/20,120.5,121.989998,116.050003,116.32,115.949493,154515300,289.869995,292.579987,278.529999,278.769989,278.769989,25117700,52.5,53.259998,52.07,52.57,51.343563,33442000,258,284.109985,257.179993,274.200012,274.200012,2060100
10/11/20,115.550003,117.589996,114.129997,115.970001,115.600609,138023400,273.100006,274,264,272.429993,272.429993,29067700,52.57,54.279999,52.450001,53.98,52.720665,29706700,272.559998,273.575012,248.020004,249.990005,249.990005,2371400
11/11/20,117.190002,119.629997,116.440002,119.489998,119.10939,112295000,273.470001,278.399994,272.480011,276.480011,276.480011,14957000,53.93,54.299999,53.330002,53.580002,52.330002,17399900,253,264.549988,252.309998,261.040009,261.040009,1183800
12/11/20,119.620003,120.529999,118.57,119.209999,118.830284,103162300,277.179993,279.75,274.429993,275.079987,275.079987,12899500,53.049999,53.209999,52.610001,53.009998,51.773296,15024400,261.290009,267.660004,256.809998,258.690002,258.690002,890600
13/11/20,119.440002,119.669998,117.870003,119.260002,118.880127,81581900,277.720001,277.76001,273.100006,276.950012,276.950012,10391200,53.25,53.5,52.889999,53.450001,52.203033,12447900,260.5,262.119995,251.899994,253.5,253.5,861600
16/11/20,118.919998,120.989998,118.150002,120.300003,119.916817,91183000,275.049988,279.410004,274.630005,278.959991,278.959991,12970400,54.5,54.619999,53.279999,53.849998,52.5937,14908200,252.850006,256.049988,245.309998,245.850006,245.850006,1438100
17/11/20,119.550003,120.669998,118.959999,119.389999,119.009712,74271000,277.679993,277.679993,273.290009,275,275,15040300,53.66,53.75,53.029999,53.68,52.42767,14248400,247.449997,251.259995,244.610001,250.440002,250.440002,822800
18/11/20,118.610001,119.82,118,118.029999,117.654045,76322100,274.519989,277.390015,271.839996,271.970001,271.970001,12152900,53.75,54.02,52.560001,52.610001,51.382629,15278200,251.25,255.660004,246.619995,253.020004,253.020004,979100
19/11/20,117.589996,119.059998,116.809998,118.639999,118.262108,74113000,271.019989,273.470001,269.190002,272.940002,272.940002,12963700,52.490002,53.23,51.950001,53.130001,51.890499,17189500,252.929993,254.940002,247.550003,249.940002,249.940002,1372700
20/11/20,118.639999,118.769997,117.290001,117.339996,116.96624,73604300,272.559998,273,269.410004,269.700012,269.700012,18114700,53.189999,53.25,52.59,52.669998,51.441227,15645600,251.820007,262.899994,250.279999,260,260,1057000
23/11/20,117.18,117.620003,113.75,113.849998,113.487358,127959300,270.890015,270.950012,264.529999,268.429993,268.429993,20990800,52.950001,53.169998,52.200001,52.68,51.450996,13191900,260.01001,270.779999,260.01001,268.859985,268.859985,947300
24/11/20,113.910004,115.849998,112.589996,115.169998,114.803154,113874200,268.48999,277.820007,267.869995,276.920013,276.920013,16930400,53.139999,53.59,53.02,53.220001,51.978397,13827600,267.910004,274.190002,266.5,270.140015,270.140015,826900
25/11/20,115.550003,116.75,115.169998,116.029999,115.660416,76499200,278.140015,280.179993,272.649994,275.589996,275.589996,12467000,53.07,53.279999,52.790001,52.93,51.695168,10194800,269,274.720001,268.019989,270.089996,270.089996,720600
27/11/20,116.57,117.489998,116.220001,116.589996,116.218628,46691300,277.390015,279.130005,274.820007,277.809998,277.809998,7808400,53.110001,53.189999,52.610001,52.700001,51.470528,8499300,269.459991,277.779999,267.329987,277.619995,277.619995,774200
30/11/20,116.970001,120.970001,116.809998,119.050003,118.670799,169410200,276.029999,277.700012,271.01001,276.970001,276.970001,16693300,52.09,52.189999,51.080002,51.599998,50.791344,43203600,277,291.720001,272.10199,291.369995,291.369995,1800200
01/12/20,121.010002,123.470001,120.010002,122.720001,122.329109,127728200,279.160004,289.299988,278.959991,286.549988,286.549988,20738900,52.139999,52.330002,51.790001,52.040001,51.224453,18968800,291.040009,292.01001,282.23999,284.98999,284.98999,1227100
02/12/20,122.019997,123.370003,120.889999,123.080002,122.687958,89004200,285.359985,291.779999,280.829987,287.519989,287.519989,17361600,51.900002,52.130001,51.639999,52.110001,51.29335,14913100,283.230011,330.869995,281.190002,320.890015,320.890015,8178500
03/12/20,123.519997,123.779999,122.209999,122.940002,122.548409,78967600,286.25,286.649994,281.070007,281.850006,281.850006,12921700,51.900002,52.939999,51.900002,52.779999,51.95285,17318900,317.5,332,314.5,316.429993,316.429993,2420000
04/12/20,122.599998,122.860001,121.519997,122.25,121.860611,78260400,280.299988,283.459991,279.299988,279.700012,279.700012,10880300,52.779999,53.869999,52.759998,53.849998,53.006081,18122400,317.290009,323.808014,315.679993,319.769989,319.769989,1979300
07/12/20,122.309998,124.57,122.25,123.75,123.355827,86712000,279.190002,288.48999,278.200012,285.579987,285.579987,13007700,53.759998,53.779999,52.700001,52.990002,52.159561,16210900,319.799988,342.359985,319,342,342,2287600
